,knesset_num,file_format,Counts,source
0,1,doc,448,KNS_DocumentBill
1,1,pdf,404,KNS_DocumentBill
2,1,tif,448,KNS_DocumentBill
3,2,doc,431,KNS_DocumentBill
4,2,docx,45,KNS_DocumentBill
5,2,pdf,593,KNS_DocumentBill
6,2,tif,431,KNS_DocumentBill
7,3,doc,564,KNS_DocumentBill
8,3,docx,5,KNS_DocumentBill
9,3,pdf,667,KNS_DocumentBill
10,3,tif,564,KNS_DocumentBill
11,4,doc,133,KNS_DocumentBill
12,4,pdf,134,KNS_DocumentBill
13,4,tif,133,KNS_DocumentBill
14,5,doc,500,KNS_DocumentBill
15,5,docx,55,KNS_DocumentBill
16,5,pdf,645,KNS_DocumentBill
17,5,tif,500,KNS_DocumentBill
18,6,doc,537,KNS_DocumentBill
19,6,pdf,638,KNS_DocumentBill
20,6,tif,525,KNS_DocumentBill
21,7,doc,763,KNS_DocumentBill
22,7,docx,33,KNS_DocumentBill
23,7,pdf,841,KNS_DocumentBill
24,7,tif,663,KNS_DocumentBill
25,8,doc,733,KNS_DocumentBill
26,8,docx,56,KNS_DocumentBill
27,8,pdf,781,KNS_DocumentBill
28,8,tif,730,KNS_DocumentBill
29,9,doc,829,KNS_DocumentBill
30,9,docx,102,KNS_DocumentBill
31,9,pdf,840,KNS_DocumentBill
32,9,tif,929,KNS_DocumentBill
33,10,doc,535,KNS_DocumentBill
34,10,docx,147,KNS_DocumentBill
35,10,pdf,687,KNS_DocumentBill
36,10,tif,331,KNS_DocumentBill
37,11,doc,1064,KNS_DocumentBill
38,11,pdf,671,KNS_DocumentBill
39,11,tif,565,KNS_DocumentBill
40,12,doc,1830,KNS_DocumentBill
41,12,docx,53,KNS_DocumentBill
42,12,pdf,687,KNS_DocumentBill
43,12,tif,430,KNS_DocumentBill
44,13,doc,4513,KNS_DocumentBill
45,13,docx,2,KNS_DocumentBill
46,13,pdf,1173,KNS_DocumentBill
47,13,tif,812,KNS_DocumentBill
48,14,doc,3468,KNS_DocumentBill
49,14,docx,64,KNS_DocumentBill
50,14,pdf,920,KNS_DocumentBill
51,14,tif,948,KNS_DocumentBill
52,15,doc,4543,KNS_DocumentBill
53,15,docx,24,KNS_DocumentBill
54,15,pdf,1122,KNS_DocumentBill
55,15,tif,611,KNS_DocumentBill
56,16,doc,4110,KNS_DocumentBill
57,16,docx,937,KNS_DocumentBill
58,16,msg,2,KNS_DocumentBill
59,16,pdf,1114,KNS_DocumentBill
60,16,rtf,1,KNS_DocumentBill
61,16,tif,136,KNS_DocumentBill
62,17,doc,5161,KNS_DocumentBill
63,17,docx,116,KNS_DocumentBill
64,17,pdf,723,KNS_DocumentBill
65,18,doc,6290,KNS_DocumentBill
66,18,docx,37,KNS_DocumentBill
67,18,pdf,2661,KNS_DocumentBill
68,18,tif,12,KNS_DocumentBill
69,19,doc,1497,KNS_DocumentBill
70,19,docx,1544,KNS_DocumentBill
71,19,pdf,1237,KNS_DocumentBill
72,19,tif,22,KNS_DocumentBill
73,20,doc,130,KNS_DocumentBill
74,20,docx,6447,KNS_DocumentBill
75,20,pdf,3114,KNS_DocumentBill
76,20,tif,9,KNS_DocumentBill
77,21,docx,575,KNS_DocumentBill
78,21,pdf,24,KNS_DocumentBill
79,21,rtf,1,KNS_DocumentBill
80,22,doc,38,KNS_DocumentBill
81,22,docx,1456,KNS_DocumentBill
82,22,pdf,81,KNS_DocumentBill
83,22,tif,25,KNS_DocumentBill
84,23,doc,534,KNS_DocumentBill
85,23,docx,2087,KNS_DocumentBill
86,23,gif,1,KNS_DocumentBill
87,23,pdf,678,KNS_DocumentBill
88,24,doc,673,KNS_DocumentBill
89,24,docx,3558,KNS_DocumentBill
90,24,pdf,669,KNS_DocumentBill
