,knesset_num,file_format,Counts,source
0,-1,doc,3131,KNS_DocumentCommitteeSession
1,-1,docx,1292,KNS_DocumentCommitteeSession
2,-1,jpg,1,KNS_DocumentCommitteeSession
3,-1,msg,15,KNS_DocumentCommitteeSession
4,-1,pdf,18328,KNS_DocumentCommitteeSession
5,-1,ppt,4,KNS_DocumentCommitteeSession
6,-1,pptx,204,KNS_DocumentCommitteeSession
7,-1,tif,10,KNS_DocumentCommitteeSession
8,-1,txt,2,KNS_DocumentCommitteeSession
9,-1,xlsx,13,KNS_DocumentCommitteeSession
10,0,doc,1,KNS_DocumentCommitteeSession
11,0,docx,73,KNS_DocumentCommitteeSession
12,0,msg,1,KNS_DocumentCommitteeSession
13,0,pdf,24,KNS_DocumentCommitteeSession
14,0,pptx,1,KNS_DocumentCommitteeSession
15,1,docx,1,KNS_DocumentCommitteeSession
16,1,pdf,908,KNS_DocumentCommitteeSession
17,1,tif,891,KNS_DocumentCommitteeSession
18,2,doc,1,KNS_DocumentCommitteeSession
19,2,docx,4,KNS_DocumentCommitteeSession
20,2,pdf,1754,KNS_DocumentCommitteeSession
21,2,tif,1741,KNS_DocumentCommitteeSession
22,3,pdf,1700,KNS_DocumentCommitteeSession
23,3,tif,1700,KNS_DocumentCommitteeSession
24,4,doc,5,KNS_DocumentCommitteeSession
25,4,docx,4,KNS_DocumentCommitteeSession
26,4,msg,1,KNS_DocumentCommitteeSession
27,4,pdf,748,KNS_DocumentCommitteeSession
28,4,pptx,1,KNS_DocumentCommitteeSession
29,4,tif,740,KNS_DocumentCommitteeSession
30,4,txt,1,KNS_DocumentCommitteeSession
31,5,doc,32,KNS_DocumentCommitteeSession
32,5,docx,10,KNS_DocumentCommitteeSession
33,5,pdf,1990,KNS_DocumentCommitteeSession
34,5,pptx,1,KNS_DocumentCommitteeSession
35,5,tif,1967,KNS_DocumentCommitteeSession
36,6,docx,1,KNS_DocumentCommitteeSession
37,6,pdf,1751,KNS_DocumentCommitteeSession
38,6,tif,1748,KNS_DocumentCommitteeSession
39,7,doc,4,KNS_DocumentCommitteeSession
40,7,docx,9,KNS_DocumentCommitteeSession
41,7,msg,1,KNS_DocumentCommitteeSession
42,7,pdf,2298,KNS_DocumentCommitteeSession
43,7,tif,2288,KNS_DocumentCommitteeSession
44,8,pdf,2850,KNS_DocumentCommitteeSession
45,8,tif,2850,KNS_DocumentCommitteeSession
46,9,pdf,2950,KNS_DocumentCommitteeSession
47,9,tif,2950,KNS_DocumentCommitteeSession
48,10,doc,23,KNS_DocumentCommitteeSession
49,10,pdf,2341,KNS_DocumentCommitteeSession
50,10,tif,2336,KNS_DocumentCommitteeSession
51,11,doc,2905,KNS_DocumentCommitteeSession
52,11,docx,4,KNS_DocumentCommitteeSession
53,11,pdf,2990,KNS_DocumentCommitteeSession
54,11,tif,2900,KNS_DocumentCommitteeSession
55,11,txt,1,KNS_DocumentCommitteeSession
56,12,doc,3006,KNS_DocumentCommitteeSession
57,12,docx,23,KNS_DocumentCommitteeSession
58,12,pdf,3027,KNS_DocumentCommitteeSession
59,12,pptx,1,KNS_DocumentCommitteeSession
60,12,tif,2943,KNS_DocumentCommitteeSession
61,13,doc,3611,KNS_DocumentCommitteeSession
62,13,docx,20,KNS_DocumentCommitteeSession
63,13,msg,3,KNS_DocumentCommitteeSession
64,13,pdf,3762,KNS_DocumentCommitteeSession
65,13,pptx,9,KNS_DocumentCommitteeSession
66,13,tif,3595,KNS_DocumentCommitteeSession
67,14,doc,2916,KNS_DocumentCommitteeSession
68,14,docx,19,KNS_DocumentCommitteeSession
69,14,msg,1,KNS_DocumentCommitteeSession
70,14,pdf,3035,KNS_DocumentCommitteeSession
71,14,pptx,1,KNS_DocumentCommitteeSession
72,14,tif,2928,KNS_DocumentCommitteeSession
73,15,doc,85,KNS_DocumentCommitteeSession
74,15,docx,4165,KNS_DocumentCommitteeSession
75,15,msg,6,KNS_DocumentCommitteeSession
76,15,pdf,234,KNS_DocumentCommitteeSession
77,15,ppt,1,KNS_DocumentCommitteeSession
78,15,pptx,8,KNS_DocumentCommitteeSession
79,15,tif,1,KNS_DocumentCommitteeSession
80,16,doc,2098,KNS_DocumentCommitteeSession
81,16,docx,3133,KNS_DocumentCommitteeSession
82,16,jpg,4,KNS_DocumentCommitteeSession
83,16,msg,30,KNS_DocumentCommitteeSession
84,16,pdf,1037,KNS_DocumentCommitteeSession
85,16,ppt,5,KNS_DocumentCommitteeSession
86,16,pptx,34,KNS_DocumentCommitteeSession
87,16,rtf,150,KNS_DocumentCommitteeSession
88,16,tif,8,KNS_DocumentCommitteeSession
89,16,xlsx,1,KNS_DocumentCommitteeSession
90,17,doc,7788,KNS_DocumentCommitteeSession
91,17,docx,203,KNS_DocumentCommitteeSession
92,17,pdf,1294,KNS_DocumentCommitteeSession
93,17,pps,2,KNS_DocumentCommitteeSession
94,17,ppt,24,KNS_DocumentCommitteeSession
95,17,rtf,289,KNS_DocumentCommitteeSession
96,18,avi,90,KNS_DocumentCommitteeSession
97,18,doc,10434,KNS_DocumentCommitteeSession
98,18,docx,130,KNS_DocumentCommitteeSession
99,18,mp3,11,KNS_DocumentCommitteeSession
100,18,pdf,2070,KNS_DocumentCommitteeSession
101,18,pps,2,KNS_DocumentCommitteeSession
102,18,ppt,24,KNS_DocumentCommitteeSession
103,18,pptx,8,KNS_DocumentCommitteeSession
104,18,rtf,182,KNS_DocumentCommitteeSession
105,18,wmv,247,KNS_DocumentCommitteeSession
106,18,xlsx,2,KNS_DocumentCommitteeSession
107,19,avi,61,KNS_DocumentCommitteeSession
108,19,doc,4097,KNS_DocumentCommitteeSession
109,19,docx,383,KNS_DocumentCommitteeSession
110,19,mp3,3,KNS_DocumentCommitteeSession
111,19,pdf,992,KNS_DocumentCommitteeSession
112,19,ppt,1,KNS_DocumentCommitteeSession
113,19,pptx,13,KNS_DocumentCommitteeSession
114,19,rtf,17,KNS_DocumentCommitteeSession
115,19,wmv,2633,KNS_DocumentCommitteeSession
116,20,doc,9720,KNS_DocumentCommitteeSession
117,20,docx,4982,KNS_DocumentCommitteeSession
118,20,htm,3,KNS_DocumentCommitteeSession
119,20,jpg,20,KNS_DocumentCommitteeSession
120,20,msg,333,KNS_DocumentCommitteeSession
121,20,pdf,7516,KNS_DocumentCommitteeSession
122,20,png,2,KNS_DocumentCommitteeSession
123,20,ppt,37,KNS_DocumentCommitteeSession
124,20,pptx,302,KNS_DocumentCommitteeSession
125,20,rtf,48,KNS_DocumentCommitteeSession
126,20,tif,310,KNS_DocumentCommitteeSession
127,20,txt,1,KNS_DocumentCommitteeSession
128,20,uknown,9,KNS_DocumentCommitteeSession
129,20,xlsx,17,KNS_DocumentCommitteeSession
130,22,doc,57,KNS_DocumentCommitteeSession
131,22,docx,6,KNS_DocumentCommitteeSession
132,22,pdf,37,KNS_DocumentCommitteeSession
133,23,doc,2238,KNS_DocumentCommitteeSession
134,23,docx,1370,KNS_DocumentCommitteeSession
135,23,jpg,4,KNS_DocumentCommitteeSession
136,23,msg,74,KNS_DocumentCommitteeSession
137,23,pdf,2528,KNS_DocumentCommitteeSession
138,23,png,1,KNS_DocumentCommitteeSession
139,23,ppt,3,KNS_DocumentCommitteeSession
140,23,pptx,174,KNS_DocumentCommitteeSession
141,23,rtf,1,KNS_DocumentCommitteeSession
142,23,xlsx,7,KNS_DocumentCommitteeSession
143,24,doc,2102,KNS_DocumentCommitteeSession
144,24,docx,1237,KNS_DocumentCommitteeSession
145,24,jpg,5,KNS_DocumentCommitteeSession
146,24,msg,22,KNS_DocumentCommitteeSession
147,24,pdf,3729,KNS_DocumentCommitteeSession
148,24,ppt,5,KNS_DocumentCommitteeSession
