DocumentPlenumSessionID,PlenumSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate,Unnamed: 0
129086,78685.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129086.doc,2010-06-03T06:56:00.717,
129087,78159.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129087.doc,2010-06-03T06:56:00.937,
129088,78158.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129088.doc,2010-06-03T06:56:01.157,
129089,78157.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129089.doc,2010-06-03T06:56:01.393,
129090,77796.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129090.doc,2010-06-03T06:56:01.637,
129091,77706.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129091.doc,2010-06-03T06:56:01.833,
129092,77704.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129092.doc,2010-06-03T06:56:02.053,
129093,76266.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129093.doc,2010-06-03T06:56:02.243,
129094,76265.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129094.doc,2010-06-03T06:56:02.45,
129095,76264.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129095.doc,2010-06-03T06:56:02.647,
129096,75574.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129096.doc,2010-06-03T06:56:02.85,
129097,75524.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129097.doc,2010-06-03T06:56:03.083,
129098,75512.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129098.doc,2010-06-03T06:56:03.287,
129099,74957.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129099.doc,2010-06-03T06:56:03.483,
129100,31691.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129100.doc,2010-06-03T06:56:03.717,
129101,31114.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129101.doc,2010-06-03T06:56:03.907,
129102,31113.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129102.doc,2010-06-03T06:56:04.12,
129103,31111.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129103.doc,2010-06-03T06:56:04.323,
129104,30657.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129104.doc,2010-06-03T06:56:04.54,
129105,30656.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129105.doc,2010-06-03T06:56:04.737,
129106,30106.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129106.doc,2010-06-03T06:56:04.937,
129107,30104.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129107.doc,2010-06-03T06:56:05.127,
129108,30103.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129108.doc,2010-06-03T06:56:05.337,
129109,29583.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129109.doc,2010-06-03T06:56:05.523,
129110,29581.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129110.doc,2010-06-03T06:56:05.75,
129111,29580.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129111.doc,2010-06-03T06:56:05.96,
129112,29011.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129112.doc,2010-06-03T06:56:06.153,
129113,29009.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129113.doc,2010-06-03T06:56:06.347,
129114,29008.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129114.doc,2010-06-03T06:56:06.533,
129115,28548.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129115.doc,2010-06-03T06:56:06.717,
129116,28547.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129116.doc,2010-06-03T06:56:06.93,
129117,28543.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129117.doc,2010-06-03T06:56:07.113,
129118,28046.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129118.doc,2010-06-03T06:56:07.33,
129119,28044.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129119.doc,2010-06-03T06:56:07.57,
129120,28043.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129120.doc,2010-06-03T06:56:07.75,
129121,27526.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129121.doc,2010-06-03T06:56:07.943,
129122,27525.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129122.doc,2010-06-03T06:56:08.15,
129123,27523.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129123.doc,2010-06-03T06:56:08.34,
129124,26987.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129124.doc,2010-06-03T06:56:08.55,
129125,26985.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129125.doc,2010-06-03T06:56:08.777,
129126,26643.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129126.doc,2010-06-03T06:56:08.993,
129127,26642.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129127.doc,2010-06-03T06:56:09.213,
129128,26640.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129128.doc,2010-06-03T06:56:09.43,
129129,26381.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129129.doc,2010-06-03T06:56:09.617,
129130,26036.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129130.doc,2010-06-03T06:56:09.823,
129131,26023.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129131.doc,2010-06-03T06:56:10.03,
129132,25577.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129132.doc,2010-06-03T06:56:10.247,
129133,25576.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129133.doc,2010-06-03T06:56:10.45,
129134,25575.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129134.doc,2010-06-03T06:56:10.65,
