,knesset_num,file_format,Counts,source
0,-1,aspx,1518,KNS_DocumentPlenumSession
1,-1,avi,120,KNS_DocumentPlenumSession
2,-1,doc,6669,KNS_DocumentPlenumSession
3,-1,docx,37,KNS_DocumentPlenumSession
4,-1,pdf,94,KNS_DocumentPlenumSession
5,-1,wmv,1362,KNS_DocumentPlenumSession
6,0,tif,100,KNS_DocumentPlenumSession
7,1,doc,300,KNS_DocumentPlenumSession
8,1,pdf,300,KNS_DocumentPlenumSession
9,1,tif,200,KNS_DocumentPlenumSession
10,2,doc,600,KNS_DocumentPlenumSession
11,2,pdf,600,KNS_DocumentPlenumSession
12,2,tif,700,KNS_DocumentPlenumSession
13,3,doc,700,KNS_DocumentPlenumSession
14,3,pdf,700,KNS_DocumentPlenumSession
15,3,tif,600,KNS_DocumentPlenumSession
16,4,doc,300,KNS_DocumentPlenumSession
17,4,pdf,300,KNS_DocumentPlenumSession
18,4,tif,300,KNS_DocumentPlenumSession
19,5,doc,500,KNS_DocumentPlenumSession
20,5,pdf,500,KNS_DocumentPlenumSession
21,5,tif,500,KNS_DocumentPlenumSession
22,6,doc,400,KNS_DocumentPlenumSession
23,6,pdf,500,KNS_DocumentPlenumSession
24,6,tif,500,KNS_DocumentPlenumSession
25,7,doc,500,KNS_DocumentPlenumSession
26,7,pdf,400,KNS_DocumentPlenumSession
27,7,tif,500,KNS_DocumentPlenumSession
28,8,doc,400,KNS_DocumentPlenumSession
29,8,pdf,400,KNS_DocumentPlenumSession
30,8,tif,400,KNS_DocumentPlenumSession
31,9,aspx,23,KNS_DocumentPlenumSession
32,9,avi,1,KNS_DocumentPlenumSession
33,9,doc,501,KNS_DocumentPlenumSession
34,9,pdf,492,KNS_DocumentPlenumSession
35,9,tif,360,KNS_DocumentPlenumSession
36,9,wmv,23,KNS_DocumentPlenumSession
37,10,doc,400,KNS_DocumentPlenumSession
38,10,pdf,300,KNS_DocumentPlenumSession
39,10,tif,300,KNS_DocumentPlenumSession
40,11,aspx,10,KNS_DocumentPlenumSession
41,11,avi,1,KNS_DocumentPlenumSession
42,11,doc,482,KNS_DocumentPlenumSession
43,11,pdf,498,KNS_DocumentPlenumSession
44,11,tif,499,KNS_DocumentPlenumSession
45,11,wmv,10,KNS_DocumentPlenumSession
46,12,doc,740,KNS_DocumentPlenumSession
47,12,docx,39,KNS_DocumentPlenumSession
48,12,pdf,361,KNS_DocumentPlenumSession
49,12,tif,360,KNS_DocumentPlenumSession
50,13,aspx,26,KNS_DocumentPlenumSession
51,13,doc,443,KNS_DocumentPlenumSession
52,13,docx,400,KNS_DocumentPlenumSession
53,13,pdf,2,KNS_DocumentPlenumSession
54,13,tif,2,KNS_DocumentPlenumSession
55,13,wmv,27,KNS_DocumentPlenumSession
56,14,doc,300,KNS_DocumentPlenumSession
57,14,docx,300,KNS_DocumentPlenumSession
58,15,aspx,10,KNS_DocumentPlenumSession
59,15,doc,341,KNS_DocumentPlenumSession
60,15,docx,337,KNS_DocumentPlenumSession
61,15,pdf,1,KNS_DocumentPlenumSession
62,15,wmv,11,KNS_DocumentPlenumSession
63,16,doc,400,KNS_DocumentPlenumSession
64,17,doc,600,KNS_DocumentPlenumSession
65,18,aspx,56,KNS_DocumentPlenumSession
66,18,avi,1,KNS_DocumentPlenumSession
67,18,doc,290,KNS_DocumentPlenumSession
68,18,wmv,53,KNS_DocumentPlenumSession
69,19,aspx,2163,KNS_DocumentPlenumSession
70,19,avi,63,KNS_DocumentPlenumSession
71,19,doc,1609,KNS_DocumentPlenumSession
72,19,pdf,3,KNS_DocumentPlenumSession
73,19,tif,33,KNS_DocumentPlenumSession
74,19,wmv,2229,KNS_DocumentPlenumSession
75,20,doc,15025,KNS_DocumentPlenumSession
76,20,docx,93,KNS_DocumentPlenumSession
77,20,jpg,2,KNS_DocumentPlenumSession
78,20,pdf,339,KNS_DocumentPlenumSession
79,20,rtf,9,KNS_DocumentPlenumSession
80,20,tif,32,KNS_DocumentPlenumSession
81,21,doc,536,KNS_DocumentPlenumSession
82,21,docx,3,KNS_DocumentPlenumSession
83,21,pdf,59,KNS_DocumentPlenumSession
84,21,tif,2,KNS_DocumentPlenumSession
85,22,doc,592,KNS_DocumentPlenumSession
86,22,docx,2,KNS_DocumentPlenumSession
87,22,pdf,6,KNS_DocumentPlenumSession
88,23,doc,5068,KNS_DocumentPlenumSession
89,23,docx,22,KNS_DocumentPlenumSession
90,23,pdf,110,KNS_DocumentPlenumSession
91,24,doc,6994,KNS_DocumentPlenumSession
92,24,docx,23,KNS_DocumentPlenumSession
93,24,pdf,83,KNS_DocumentPlenumSession
