doc,error
"{'DocumentBillID': '205554', 'BillID': 146985, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//10/law/10_lsr_208003.PDF', 'LastUpdatedDate': '2012-07-02T16:57:37.827'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205554', 'BillID': 146985, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//10/law/10_lsr_204029.TIF', 'LastUpdatedDate': '2012-07-02T16:57:37.827'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205556', 'BillID': 146987, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//7/law/7_lsr_208005.PDF', 'LastUpdatedDate': '2012-07-02T16:57:42.557'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205556', 'BillID': 146987, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//7/law/7_lsr_204031.TIF', 'LastUpdatedDate': '2012-07-02T16:57:42.557'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205557', 'BillID': 146988, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//7/law/7_lsr_204032.TIF', 'LastUpdatedDate': '2012-07-02T16:57:44.873'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205558', 'BillID': 146989, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//6/law/6_lsr_208007.PDF', 'LastUpdatedDate': '2012-07-02T16:57:47.367'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205559', 'BillID': 146990, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//6/law/6_lsr_208008.PDF', 'LastUpdatedDate': '2012-07-02T16:57:49.587'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205561', 'BillID': 146992, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_lsr_204036.TIF', 'LastUpdatedDate': '2012-07-02T16:57:53.767'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205562', 'BillID': 146993, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_lsr_208011.PDF', 'LastUpdatedDate': '2012-07-02T16:57:55.907'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205562', 'BillID': 146993, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_lsr_204037.TIF', 'LastUpdatedDate': '2012-07-02T16:57:55.907'}",'NoneType' object has no attribute 'lower'
